Symbol,Sector,EPS Next 5Y,Market Cap,Total Assets,Total Debt,Free Cash Flow,Beta,P/E Ratio
AAPL,Technology,0.1793,2221286359040.0,323888000000,113896000000,73365000000,1.208152,29.919085
ADBE,Technology,0.175,277077458944.0,24284000000,5500000000,5308000000,0.947826,50.23921
BA,Industrials,0.1233,145255104512.0,152136000000,75087000000,-19713000000,1.685052,
BYND,Consumer Defensive,-0.069,9334028288.0,468006000,,-115461000,1.61423,
CAT,Industrials,0.1906,118491807744.0,78324000000,25674000000,4212000000,0.916304,34.587463
DIS,Communication Services,0.517,324049469440.0,201549000000,62337000000,3596000000,1.196195,
DOCU,Technology,0.56,54320037888.0,2336507000,972773000,214559000,0.817375,
ENPH,Technology,0.4167,23800248320.0,1200102000,401907000,195776000,1.24214,260.60922
ETSY,Consumer Cyclical,0.528,23488634880.0,2404489000,1198042000,676631000,1.548913,52.485092
FB,Communication Services,0.237,967941029888.0,159316000000,,23632000000,1.3,29.249422
GS,Financial,0.168,125294026752.0,1163028000000,514604000000,-20037000000,1.494021,9.160167
HD,Consumer Cyclical,0.1057,333470236672.0,70581000000,41563000000,16376000000,1.048913,22.862661
JPM,Financial,0.0128,466324750336.0,3386071000000,783300000000,,1.211252,12.219401
LMT,Industrials,0.0511,106173579264.0,50710000000,15606000000,6417000000,0.980978,15.414195
MCD,Consumer Cyclical,0.2043,173425770496.0,52626800000,39813100000,4624400000,0.627717,33.72805
MSFT,Technology,0.1673,1996016582656.0,301311000000,73357000000,45234000000,0.78913,36.116108
NKE,Consumer Cyclical,0.406,243868385280.0,31342000000,12983000000,1399000000,0.853804,72.15989
NVAX,Healthcare,0.0,14062375936.0,1582479000,574147000,-97163000,1.554891,
NVDA,Technology,0.2684,474252509184.0,28791000000,7481000000,4694000000,1.366847,89.98109
PYPL,Financial,0.2352,340201799680.0,70379000000,11068000000,4988000000,1.157065,65.99818
QCOM,Technology,0.2729,155269185536.0,35594000000,18648000000,4407000000,1.341304,19.712158
SPOT,Communication Services,,50872721408.0,6326000000,,181000000,1.518669,
SPY,Financial,,391534968832.0,,,,,
SQ,Technology,0.5641,109261234176.0,9869550000,3230475000,243201000,2.416304,335.58044
TGT,Consumer Defensive,0.1145,119005855744.0,51248000000,14153000000,7876000000,1.003804,19.639942
TQQQ,Financial,,,,,,,
UNP,Industrials,0.1323,146990317568.0,62398000000,27654000000,5613000000,1.136413,28.635952
V,Financial,0.2549,522191798272.0,80919000000,26494000000,9704000000,0.996195,49.05333
XOM,Energy,0.1014,273740726272.0,332750000000,70540000000,-2614000000,1.407065,
ZM,Communication Services,0.1538,109746798592.0,5297993000,,1391205000,-1.482678,128.43793
